File name,Low Resolution,Leaner,Super Resoultion
118035.jpg,34.58402720426945,34.26930000963257,33.820111690224365
145014.jpg,30.681713823740782,30.691106240833225,30.129722198863895
163062.jpg,31.72857265941031,31.958409826305513,31.353600086325862
207056.jpg,31.52914073639563,32.0945420442364,31.249159138199502
216041.jpg,31.055435793906348,31.54301718452625,30.92907252602965
22093.jpg,30.982743462518734,31.19919898439566,30.43407953095116
227046.jpg,31.364566789189436,31.54491866893446,30.980928377041415
232038.jpg,31.966816196760103,32.16485460388762,31.796106559570365
246016.jpg,33.34750457579704,34.21904758259549,32.77049945401126
249061.jpg,32.63431182346708,32.78764470220106,31.77017702519988
253036.jpg,36.85631763992392,37.30292342270468,36.14440453623607
254054.jpg,29.51946733976782,29.617062884499205,29.305001917846525
26031.jpg,30.043493716482125,29.807913093916714,29.436206591939943
271008.jpg,31.27443045984004,31.62623352927762,30.697421987052948
28075.jpg,30.491411295405655,30.99768232760792,30.771283655684826
35070.jpg,34.75267174923593,35.94074497579386,33.53748778561807
370036.jpg,31.424022699383862,31.94294895090932,31.082368553459425
374020.jpg,31.117851808968794,31.391184148769877,30.93517544694304
385028.jpg,30.39957664917035,30.703240419452655,30.298672157040833
90076.jpg,33.463446754938225,33.894061013515966,32.6936093140508
